PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Referenced in sitemaps,No. of href inlinks,No. of redirect inlinks,No. of canonical inlinks,No. of hreflang inlinks,No. of pagination inlinks,No. of CSS inlinks,No. of IMG inlinks,No. of JS inlinks
20,https://videotext.io/castmagic-alternative,Castmagic Alternative – Podcast Transcription Without the Content Suite | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-online-course-transcript,Generate Online Course Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/dissertation-interview-to-transcript,Dissertation Interview to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-voice-recording-to-text,Convert Voice Recording to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-tutorial-video,Transcript from Tutorial Video | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tools/aspect-ratio-calculator,"Video Aspect Ratio Calculator — 16:9, 9:16, 1:1 & More | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/sdh-subtitles,SDH Subtitles — Generate Subtitles for the Deaf and Hard of Hearing | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/free-video-transcription-tool,Free Video Transcription Tool – No Credit Card | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/best-youtube-transcription-tool,"Best YouTube Transcription Tool – Paste URL, Get Text | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/focus-group-recording-transcription,Focus Group Recording Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/interview-to-transcript,Interview to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/subtitle-tools,"Free Subtitle Tools for Creators — SRT, VTT, Timing & Validation | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/online-course-transcription,Online Course Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-voice-message-transcript,Generate Voice Message Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/riverside-alternative,Riverside.fm Alternative – Transcription Without the Recording Platform | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tactiq-alternative,"Best Tactiq Alternative – Transcribe from File, Not Just Live Calls | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-focus-group-recording-transcript,Generate Focus Group Recording Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/auto-subtitle-generator,Auto Subtitle Generator – Generate Subtitles Automatically | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/youtube-subtitle-generator,YouTube Subtitle Generator – Create Captions from Videos | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/turboscribe-alternative,TurboScribe Alternative: We Tested Both. VideoText is 3× Faster. | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-conference-talk-transcript,Generate Conference Talk Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tools,Free Video & Subtitle Tools — No Account Needed | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-speech,Transcript from Speech | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/audio-recording-to-transcript,Audio Recording to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-news-interview-transcript,Generate News Interview Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/video-interview-to-transcription,Video Interview to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/dictation-transcript,Dictation Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-subtitles-from-video,Generate Subtitles from Video – SRT/VTT | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/interview-transcription-tool,Interview Transcription Tool for Journalists & Researchers | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/assembly-ai-alternative,AssemblyAI Alternative – Whisper-Powered Transcription Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/research-interview-to-transcription,Research Interview to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/changelog,Changelog — What's New | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-voice-memo,Transcript from Voice Memo | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-voice-note,Transcribe Voice Note to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/focus-group-recording-to-transcript,Focus Group Recording to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/product-demo-to-transcript,Product Demo to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/buzz-alternative,"Best Buzz Alternative in 2026 (Speed, Exports, Workflow) | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/subtitle-editor,"Online Subtitle Editor — Edit, Fix & Export SRT/VTT Files | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/online-subtitle-editor,Online Subtitle Editor — Edit SRT & VTT Files Free | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/dictation-tool,Dictation Tool – Free Online Dictation Software | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-dissertation-interview,Transcript from Dissertation Interview | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/video-interview-transcription,Video Interview Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tools/srt-to-sbv,SRT to SBV Converter — Convert Subtitles to YouTube Format Free | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/mem-ai-alternative,Best Mem AI Alternative for Transcription & Meeting Notes | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/product-demo-to-transcription,Product Demo to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-documentary,Transcript from Documentary | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/audio-recording-to-transcription,Audio Recording to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/dictation-to-transcription,Dictation to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tools/subtitle-word-counter,Subtitle Word Counter — Count Words in SRT & VTT Files | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/mp4-video-subtitles,Mp4 Video Subtitles – Generate SRT | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-documentary-transcript,Generate Documentary Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-youtube-video,Transcript from Youtube Video | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/news-interview-subtitles,News Interview Subtitles – Generate SRT | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/meeting-to-text,Meeting to Text – Convert Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/srt-to-word,SRT to Word — Export Your Transcript as a Text Document | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-voice-message-to-text,Convert Voice Message to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tutorial-video-to-transcription,Tutorial Video to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/krisp-alternative,Best Krisp Alternative for Meeting Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-dictation-transcript,Generate Dictation Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/news-interview-to-transcript,News Interview to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/headliner-alternative,Best Headliner (Eddy) Alternative for Podcast Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/press-conference-to-text,Press Conference to Text – Convert Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/korean-transcription,Korean Video Transcription – Transcribe Korean Videos Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/lecture-transcript,Lecture Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-mp4-video,Transcribe Mp4 Video to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-zoom-recording-to-text,Convert Zoom Recording to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-focus-group-recording,Transcript from Focus Group Recording | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/japanese-transcription,Japanese Video Transcription – Transcribe Japanese Videos Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/dissertation-interview-transcription,Dissertation Interview Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/dictation-transcription,Dictation Transcription – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/german-transcription,German Transcription Online – Transcribe German Videos | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/speechnotes-alternative,Speechnotes Alternative – Free Voice to Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/webinar-to-transcript,Webinar to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/voice-note-transcript,Voice Note Transcript – Get Text Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/voice-note-to-text,Voice Note to Text – Convert Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/whisper-transcription,Whisper Transcription Online — OpenAI Whisper in Your Browser | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-meeting,Transcribe Meeting to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/lecture-to-text,Lecture to Text – Convert Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/online-course-to-transcript,Online Course to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/capcut-captions,CapCut Captions to SRT — Export CapCut Subtitles as a File | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-online-course-to-text,Convert Online Course to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/online-voice-recorder,Online Voice Recorder – Record & Transcribe in Browser | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/superwhisper-alternative,Best Superwhisper Alternative – Transcribe Without a Mac Dictation App | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/marketing-video-to-transcript,Marketing Video to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/fastest-transcription-tool,"Fastest Transcription Tool 2026 — Benchmark vs Otter, Descript, TurboScribe | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-zoom-recording,Transcript from Zoom Recording | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/notability-alternative,Best Notability Alternative for Lecture Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/video-podcast-to-transcription,Video Podcast to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-class-recording,Transcript from Class Recording | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/voice-message-to-transcription,Voice Message to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/vimeo-transcription,Vimeo Transcription – Transcribe Vimeo Videos to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-speech,Transcribe Speech to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcript-from-news-interview,Transcript from News Interview | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/marketing-video-to-text,Marketing Video to Text – Convert Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-lecture-transcript,Generate Lecture Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-dictation,Transcribe Dictation to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/meeting-to-transcript,Meeting to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/lecture-to-transcription,Lecture to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/transcribe-dissertation-interview,Transcribe Dissertation Interview to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/voice-note-to-transcription,Voice Note to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-product-demo-to-text,Convert Product Demo to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/voice-to-text,Voice to Text – Free Online Voice Recorder & Transcriber | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-training-video-transcript,Generate Training Video Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-documentary-to-text,Convert Documentary to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/panopto-alternative,Best Panopto Alternative for Transcription – Export Captions & Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/focus-group-recording-to-transcription,Focus Group Recording to Transcription | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/press-conference-to-transcript,Press Conference to Transcript – Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/convert-audio-recording-to-text,Convert Audio Recording to Text | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/generate-mp4-video-transcript,Generate Mp4 Video Transcript | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/tools/vtt-to-srt,VTT to SRT Converter — Free Online | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/macwhisper-alternative,Best MacWhisper Alternative – Transcribe Without a Mac App | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/podcast-transcription-tool,"Podcast Transcription Tool for Show Notes, Chapters & Clips | VideoText",text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/caption-video-online,Caption Video Online – Add Captions to Video | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-programmatic.xml,0,0,0,0,0,0,0,0
20,https://videotext.io/teams-meeting-transcript,Microsoft Teams Transcript – Transcribe Teams Recordings | VideoText,text/html; charset=utf-8,false,200,0,https://videotext.io/sitemap-core.xml,0,0,0,0,0,0,0,0
