page,clicks,impressions,ctr,position
/open-captions-vs-closed-captions,0,4,0.0000,7.25
/srt-translator,0,4,0.0000,65.25
/subtitle-generator,0,4,0.0000,6.00
/tools/srt-to-sbv,0,4,0.0000,29.25
/transcribe-video-online,0,4,0.0000,23.50
/verbit-transcription-guidelines,0,4,0.0000,12.75
/vomo-alternative,0,4,0.0000,7.25
/youtube-transcript,0,4,0.0000,4.00
/add-subtitles-to-video,0,3,0.0000,72.33
/avi-to-text,0,3,0.0000,22.67
/best-caption-generator,0,3,0.0000,22.00
/blog/how-to-transcribe-zoom-recording,0,3,0.0000,44.33
/daily-transcripts-format-guide,0,3,0.0000,6.00
/easyscribe-alternative,0,3,0.0000,12.33
/maestra-alternative,0,3,0.0000,8.67
/mp3-to-text,0,3,0.0000,24.67
/qualitative-research-transcription,0,3,0.0000,53.67
/shorts-captions,0,3,0.0000,6.00
/speechmatics-alternative,0,3,0.0000,17.33
/speechpad-transcription-guidelines,0,3,0.0000,44.33
/webm-to-text,0,3,0.0000,59.67
/whisper-online,0,3,0.0000,55.67
/subly-alternative,1,2,0.5000,5.00
/caption-video-online,0,2,0.0000,45.00
/dragon-dictate-alternative,0,2,0.0000,11.00
/glean-alternative,0,2,0.0000,9.00
/speech-to-text,0,2,0.0000,59.50
/speechtexter-alternative,0,2,0.0000,8.00
/transcribio-format-guide,0,2,0.0000,33.00
/video-caption-generator,0,2,0.0000,6.50
/video-translation,0,2,0.0000,65.50
/voice-memo-to-text,0,2,0.0000,56.50
/voice-notes-to-text,0,2,0.0000,66.50
/daily-transcripts-style-guide,1,1,1.0000,3.00
/webex-transcription,1,1,1.0000,4.00
/ada-video-captions,0,1,0.0000,8.00
/ai-captioning,0,1,0.0000,55.00
/ditto-transcripts-alternative,0,1,0.0000,5.00
/free-video-transcription-tool,0,1,0.0000,4.00
/generate-subtitles-from-video,0,1,0.0000,83.00
/headliner-alternative,0,1,0.0000,10.00
/hedy-ai-alternative,0,1,0.0000,68.00
/invideo-alternative,0,1,0.0000,8.00
/meetgeek-alternative,0,1,0.0000,3.00
/mem-ai-alternative,0,1,0.0000,5.00
/mov-to-text,0,1,0.0000,52.00
/online-transcription,0,1,0.0000,55.00
/scribe-alternative,0,1,0.0000,3.00
/video-captions,0,1,0.0000,67.00
/video-with-subtitles,0,1,0.0000,11.00
/youtube-url-to-transcription,0,1,0.0000,59.00
